Date,Day_Num,Open,High,Low,Close,Adj_Close,Volume
2023-05-24,1,23.129999,23.52,22.73,23.27,23.27,1901000
2023-05-25,2,23.5,23.690001,22.709999,23.35,23.35,2494400
2023-05-26,3,23.469999,23.709999,23.059999,23.25,23.25,2261900
2023-05-30,4,23.35,24.690001,23.299999,24.57,24.57,5037800
2023-05-31,5,24.51,24.799999,23.879999,24.049999,24.049999,4265200
2023-06-01,6,24.040001,24.66,23.780001,24.1,24.1,3845000
2023-06-02,7,24.290001,24.93,24.280001,24.639999,24.639999,3293100
2023-06-05,8,24.530001,25.84,24.16,24.309999,24.309999,4201900
2023-06-06,9,24.01,25.25,24,24.690001,24.690001,3984300
2023-06-07,10,26.200001,26.549999,25.07,26.110001,26.110001,18001100
2023-06-08,11,20.299999,22,20.1,21.440001,21.440001,19213300
2023-06-09,12,21.780001,23.43,21.5,22.68,22.68,10321200
2023-06-12,13,22.85,24.299999,22.74,24.299999,24.299999,7131400
2023-06-13,14,26.200001,27.65,25.030001,26.950001,26.950001,17160600
2023-06-14,15,26.719999,27.08,24.9,25.700001,25.700001,7243700
2023-06-15,16,25.41,26.17,24.639999,24.84,24.84,5501800
2023-06-16,17,25.02,25.110001,24.42,24.559999,24.559999,4427000
2023-06-20,18,24.41,24.65,23.719999,24.58,24.58,3250700
2023-06-21,19,24.84,25.1,24.1,24.43,24.43,2404700
2023-06-22,20,24.129999,24.33,23.76,24.32,24.32,1889600
2023-06-23,21,23.780001,24.15,23.68,23.700001,23.700001,2230800
2023-06-26,22,23.379999,24.030001,22.91,23.02,23.02,2525200
2023-06-27,23,23.290001,23.6,23,23.58,23.58,2141500
2023-06-28,24,23.440001,25.1,23.4,24.98,24.98,3493900
2023-06-29,25,24.959999,25.469999,24.620001,24.9,24.9,3101000
2023-06-30,26,24.969999,25.129999,24.25,24.25,24.25,2797500
2023-07-03,27,24.290001,25.110001,24.209999,24.91,24.91,1806600
2023-07-05,28,24.639999,24.85,23.790001,23.9,23.9,2263100
2023-07-06,29,23.52,23.57,22.82,22.83,22.83,2384600
2023-07-07,30,22.969999,23.530001,22.67,22.709999,22.709999,2439600
2023-07-10,31,22.610001,23.559999,22,23.540001,23.540001,3318200
2023-07-11,32,23.200001,24.440001,23.200001,23.91,23.91,3063500
2023-07-12,33,24.25,24.309999,23.440001,23.440001,23.440001,1742200
2023-07-13,34,23.540001,23.98,23.42,23.459999,23.459999,1912200
2023-07-14,35,23.49,23.719999,22.940001,22.969999,22.969999,2175300
2023-07-17,36,22.879999,23.309999,22.700001,22.82,22.82,2026000
2023-07-18,37,22.719999,23.799999,22.68,23.08,23.08,2345100
2023-07-19,38,23.42,23.58,22.959999,23.17,23.17,2250100
2023-07-20,39,23.01,23.219999,22.66,22.91,22.91,2256700
2023-07-21,40,23.049999,23.219999,22.16,22.18,22.18,3134100
2023-07-24,41,22.42,23.040001,22.200001,23.040001,23.040001,2970400
2023-07-25,42,23.1,23.1,22.530001,22.85,22.85,1672000
2023-07-26,43,22.700001,22.99,22.48,22.700001,22.700001,1489200
2023-07-27,44,22.940001,23.49,22.129999,22.219999,22.219999,3370900
2023-07-28,45,22.02,22.49,21.790001,21.93,21.93,2642100
2023-07-31,46,22,22.379999,21.85,22.200001,22.200001,1973400
2023-08-01,47,21.950001,22,21.26,21.5,21.5,2567100
2023-08-02,48,21.15,21.15,20.34,20.83,20.83,2625800
2023-08-03,49,20.879999,21.18,20.74,20.93,20.93,1318700
2023-08-04,50,20.950001,21.889999,20.889999,20.98,20.98,2400500
2023-08-07,51,20.9,21.24,20.48,21.07,21.07,1441300
2023-08-08,52,20.700001,20.9,20.280001,20.74,20.74,1431300
2023-08-09,53,20.85,20.85,19.82,19.93,19.93,2929600
2023-08-10,54,20,20.290001,19.870001,20.190001,20.190001,1432400
2023-08-11,55,20.030001,20.379999,19.969999,20.190001,20.190001,1500200
2023-08-14,56,19.75,20.01,19.08,19.959999,19.959999,3329300
2023-08-15,57,19.77,19.780001,19.09,19.33,19.33,2290300
2023-08-16,58,19.18,19.34,18.549999,18.59,18.59,3015600
2023-08-17,59,18.790001,18.809999,18.299999,18.379999,18.379999,2056800
2023-08-18,60,18.18,18.66,18.139999,18.360001,18.360001,2023900
2023-08-21,61,18.299999,18.82,18.200001,18.48,18.48,2864700
2023-08-22,62,18.620001,18.620001,17.25,17.26,17.26,3791900
2023-08-23,63,17.25,17.34,16.879999,16.889999,16.889999,2909100
2023-08-24,64,16.940001,16.98,16.18,16.360001,16.360001,3624500
2023-08-25,65,16.5,17.18,16.450001,17.129999,17.129999,3423500
2023-08-28,66,17.35,18.110001,17.25,17.57,17.57,3007400
2023-08-29,67,17.6,18.549999,17.6,18.24,18.24,2709200
2023-08-30,68,18.200001,18.52,17.91,18.370001,18.370001,1884500
2023-08-31,69,18.41,19.42,18.15,18.549999,18.549999,4674100
2023-09-01,70,18.66,18.73,18.32,18.42,18.42,2131800
2023-09-05,71,18.450001,19.34,18.26,19.23,19.23,3781300
2023-09-06,72,19.059999,19.15,18.42,18.75,18.75,6107200
2023-09-07,73,19.129999,19.48,17.610001,18.889999,18.889999,5021300
2023-09-08,74,18.15,18.5,17.35,17.709999,17.709999,4689200
2023-09-11,75,17.85,17.85,16.9,17.02,17.02,3543800
2023-09-12,76,17.530001,18.5,17.190001,17.23,17.23,5179400
2023-09-13,77,17.309999,17.93,17.27,17.809999,17.809999,3012600
2023-09-14,78,17.799999,18.52,17.6,18.33,18.33,3078000
2023-09-15,79,18.360001,18.610001,18.15,18.219999,18.219999,6158000
2023-09-18,80,17.99,18.1,17.35,17.549999,17.549999,3694600
2023-09-19,81,17.59,17.639999,17.129999,17.52,17.52,2584200
2023-09-20,82,17.629999,17.93,17.450001,17.52,17.52,2129800
2023-09-21,83,17.280001,17.32,16.65,17.02,17.02,2910700
2023-09-22,84,17.18,17.35,17,17.18,17.18,2100300
2023-09-25,85,17,17.719999,16.85,17.67,17.67,2181200
2023-09-26,86,17.379999,17.82,16.780001,16.780001,16.780001,2726800
2023-09-27,87,16.870001,17.26,16.809999,17.15,17.15,1681300
2023-09-28,88,18.02,18.1,16.440001,16.84,16.84,7431900
2023-09-29,89,17.049999,17.26,16.4,16.459999,16.459999,3388600
2023-10-02,90,16.299999,16.309999,15.26,15.39,15.39,6087700
2023-10-03,91,15.29,15.29,14.57,14.6,14.6,4510300
2023-10-04,92,14.77,14.94,14.44,14.87,14.87,2586400
2023-10-05,93,14.7,14.98,14.58,14.71,14.71,1945100
2023-10-06,94,14.59,15.26,14.58,15.08,15.08,2458300
2023-10-09,95,14.77,15.5,14.72,15.4,15.4,2276300
2023-10-10,96,15.5,16.190001,15.4,16,16,2915900
2023-10-11,97,16.01,16.09,15.74,15.82,15.82,2098200
2023-10-12,98,15.77,15.8,14.82,15.09,15.09,3180300
2023-10-13,99,14.92,15.11,14.78,14.92,14.92,1823300
2023-10-16,100,14.81,14.93,14.15,14.43,14.43,3508600
2023-10-17,101,14.25,14.83,14.1,14.12,14.12,3842400
2023-10-18,102,14,14.25,13.81,13.85,13.85,4045800
2023-10-19,103,13.8,13.85,12.9,13.16,13.16,5808000
2023-10-20,104,13.18,13.8,13.12,13.44,13.44,3657600
2023-10-23,105,13.28,13.59,13.04,13.44,13.44,2785500
2023-10-24,106,13.59,14.3,13.55,14.04,14.04,3738300
2023-10-25,107,14.01,14.01,13.61,13.71,13.71,1967300
2023-10-26,108,13.73,13.8,13.41,13.5,13.5,2036400
2023-10-27,109,13.51,13.62,13.02,13.12,13.12,2481700
2023-10-30,110,13.15,13.27,12.59,12.8,12.8,3475900
2023-10-31,111,12.85,13.9,12.82,13.77,13.77,4574600
2023-11-01,112,13.78,13.8,13.01,13.01,13.01,3430100
2023-11-02,113,13.37,13.7,13.28,13.64,13.64,3566600
2023-11-03,114,13.9,14.4,13.83,13.87,13.87,2963100
2023-11-06,115,13.99,14.05,13.49,13.53,13.53,2164400
2023-11-07,116,13.47,13.79,13.23,13.64,13.64,2354400
2023-11-08,117,13.51,13.76,13.28,13.28,13.28,1705600
2023-11-09,118,13.25,13.32,12.7,12.7,12.7,2750100
2023-11-10,119,12.81,12.97,12.35,12.54,12.54,3872400
2023-11-13,120,12.5,12.53,11.83,12.14,12.14,4318500
2023-11-14,121,12.75,13.39,12.69,12.9,12.9,5187500
2023-11-15,122,13.15,13.5,13.03,13.27,13.27,4121600
2023-11-16,123,13.14,13.19,12.52,12.53,12.53,3425800
2023-11-17,124,12.52,13.06,12.52,13.03,13.03,3414200
2023-11-20,125,13,13.2,12.8,12.8,12.8,2294900
2023-11-21,126,12.65,12.72,12.26,12.55,12.55,3710100
2023-11-22,127,12.56,12.71,12.19,12.29,12.29,2358800
2023-11-24,128,12.22,12.41,12.18,12.2,12.2,1232500
2023-11-27,129,12.18,12.33,11.89,11.91,11.91,3710600
2023-11-28,130,11.9,13.55,11.89,13.49,13.49,14192900
2023-11-29,131,15.49,17.559999,14.7,16.25,16.25,61172800
2023-11-30,132,16.290001,16.33,14.32,14.55,14.55,16537200
2023-12-01,133,14.52,15.99,14.5,15.3,15.3,13347300
2023-12-04,134,15.29,17.41,14.91,16.98,16.98,20098700
2023-12-05,135,16.469999,16.719999,14.87,14.91,14.91,14220100
2023-12-06,136,15.36,15.7,14.64,14.84,14.84,12691300
2023-12-07,137,13.71,16.52,13.56,16.360001,16.360001,19840700
2023-12-08,138,15.83,16.48,15.47,15.55,15.55,10375400
2023-12-11,139,15.45,15.69,14.98,15.07,15.07,4961200
2023-12-12,140,15.12,15.36,14.84,15.22,15.22,4210700
2023-12-13,141,15.22,16.799999,15.19,16.690001,16.690001,9086900
2023-12-14,142,17.139999,17.879999,16.799999,17.440001,17.440001,10750700
2023-12-15,143,17.4,17.58,17.01,17.26,17.26,7110100
2023-12-18,144,17.24,18.51,17.1,17.860001,17.860001,7352200
2023-12-19,145,17.889999,18.59,17.23,17.719999,17.719999,5447100
2023-12-20,146,17.530001,18.379999,16.889999,16.93,16.93,5553000
2023-12-21,147,17.190001,17.34,16.59,16.98,16.98,3975300
2023-12-22,148,16.780001,17.200001,16.450001,16.969999,16.969999,3325100
2023-12-26,149,16.98,17.41,16.82,17.360001,17.360001,3079600
2023-12-27,150,17.43,18.370001,17.370001,18.370001,18.370001,4800100
2023-12-28,151,18.049999,18.32,17.85,18.07,18.07,3574800
2023-12-29,152,18.040001,18.16,17.459999,17.530001,17.530001,4524200
2024-01-02,153,17.25,17.6,16.58,16.67,16.67,4428000
2024-01-03,154,16.299999,16.83,15.9,16.690001,16.690001,4193600
2024-01-04,155,16.51,16.75,16.309999,16.360001,16.360001,2671500
2024-01-05,156,16.16,16.52,15.96,15.96,15.96,2615700
2024-01-08,157,15.78,16.120001,15.7,15.79,15.79,3031100
2024-01-09,158,15.59,15.62,15.12,15.16,15.16,3105300
2024-01-10,159,15.12,15.76,14.97,15.73,15.73,3191700
2024-01-11,160,15.65,15.8,15.24,15.25,15.25,2992200
2024-01-12,161,15.3,15.62,14.73,14.75,14.75,2475500
2024-01-16,162,14.6,14.62,13.93,13.98,13.98,3581200
2024-01-17,163,13.86,14.11,13.71,14.08,14.08,2706200
2024-01-18,164,14.2,14.77,14.05,14.29,14.29,3906000
2024-01-19,165,14.36,14.6,14.09,14.51,14.51,2391500
2024-01-22,166,14.5,15.16,14.3,14.9,14.9,3606500
2024-01-23,167,15,15.02,14.05,14.18,14.18,3495300
2024-01-24,168,14.28,14.38,13.82,13.95,13.95,2513800
2024-01-25,169,13.97,14.54,13.92,14.52,14.52,3635900
2024-01-26,170,14.44,14.72,14.41,14.49,14.49,2288800
2024-01-29,171,14.5,14.81,14.32,14.78,14.78,2164200
2024-01-30,172,14.54,14.82,14.51,14.55,14.55,1652600
2024-01-31,173,14.4,14.83,14.22,14.23,14.23,2684700
2024-02-01,174,14.34,14.42,14.02,14.42,14.42,2220200
2024-02-02,175,14.15,14.92,14.08,14.73,14.73,2922600
2024-02-05,176,14.5,14.61,13.4,13.46,13.46,4361500
2024-02-06,177,13.6,14.3,13.43,14.1,14.1,3047800
2024-02-07,178,14.12,14.3,13.78,14.07,14.07,1947800
2024-02-08,179,14.01,14.44,13.89,14.35,14.35,1838300
2024-02-09,180,14.37,15.23,14.3,14.66,14.66,3575300
2024-02-12,181,14.58,15.22,14.53,14.73,14.73,2750100
2024-02-13,182,14.2,14.4,13.77,14.17,14.17,3788700
2024-02-14,183,14.33,14.43,14.05,14.41,14.41,2504400
2024-02-15,184,14.54,14.75,14.23,14.51,14.51,2400500
2024-02-16,185,14.46,14.53,14.1,14.12,14.12,2297200
2024-02-20,186,13.96,14.05,13.16,13.49,13.49,3784500
2024-02-21,187,13.46,13.67,13.23,13.41,13.41,1731300
2024-02-22,188,13.5,13.65,13.34,13.36,13.36,1817800
2024-02-23,189,13.3,13.79,13.12,13.51,13.51,2319700
2024-02-26,190,13.31,13.75,13.2,13.68,13.68,2278600
2024-02-27,191,13.7,14.29,13.68,14.21,14.21,2795500
2024-02-28,192,14,14.47,13.89,14.24,14.24,2440700
2024-02-29,193,14.34,14.65,14.03,14.27,14.27,2638700
2024-03-01,194,14.18,15.09,13.99,14.95,14.95,4890900
2024-03-04,195,14.93,15.59,14.83,15.22,15.22,4367600
2024-03-05,196,14.95,15.28,14.78,15,15,3152700
2024-03-06,197,15.22,15.89,14.94,15.26,15.26,3818100
2024-03-07,198,15.26,15.51,15.05,15.26,15.26,2111900
2024-03-08,199,15.4,15.63,14.52,14.65,14.65,3165700
2024-03-11,200,14.64,14.94,14.36,14.43,14.43,2111900
2024-03-12,201,14.35,14.84,14.09,14.72,14.72,2382600
2024-03-13,202,14.69,15.2,14.62,14.87,14.87,2898100
2024-03-14,203,14.8,15.02,14.4,14.63,14.63,2534200
2024-03-15,204,14.55,14.83,14.21,14.24,14.24,4476500
2024-03-18,205,14.25,14.3,13.9,13.91,13.91,3490800
2024-03-19,206,13.76,13.89,13.3,13.41,13.41,3894700
2024-03-20,207,13.47,13.79,13.21,13.48,13.48,3921300
2024-03-21,208,13.56,14.02,13.48,13.66,13.66,3382800
2024-03-22,209,13.76,13.95,13.01,13.1,13.1,4400000
2024-03-25,210,13.42,15.15,13.31,15.12,15.12,10416300
2024-03-26,211,15.15,15.63,14.75,15.5,15.5,17245800
2024-03-27,212,13.05,13.72,12.8,13.17,13.17,17871300
2024-03-28,213,13.19,13.19,12.47,12.52,12.52,8473500
2024-04-01,214,12.63,12.67,11.55,11.99,11.99,9207100
2024-04-02,215,11.84,11.99,11.26,11.28,11.28,6327700
2024-04-03,216,11.22,11.5,10.9,11.38,11.38,4331500
2024-04-04,217,11.5,11.83,11.38,11.53,11.53,4347000
2024-04-05,218,11.3,11.5,10.97,11.25,11.25,4750800
2024-04-08,219,11.3,11.37,10.83,10.83,10.83,3659100
2024-04-09,220,10.85,11.18,10.73,11.01,11.01,3514400
2024-04-10,221,10.9,11.07,10.75,10.85,10.85,3546200
2024-04-11,222,10.91,11.39,10.8,11.29,11.29,3802100
2024-04-12,223,11.21,11.23,10.76,10.77,10.77,3196300
2024-04-15,224,10.81,10.84,10.06,10.06,10.06,5086300
2024-04-16,225,10,10.55,9.95,10.37,10.37,4162100
2024-04-17,226,10.44,10.59,10.3,10.3,10.3,2096700
2024-04-18,227,10.32,10.63,10.27,10.31,10.31,2175400
2024-04-19,228,10.2,10.5,10.2,10.42,10.42,2455100
2024-04-22,229,10.41,10.45,10.01,10.01,10.01,3261000
2024-04-23,230,10.05,10.28,10.01,10.16,10.16,2511800
2024-04-24,231,10.16,10.94,10.16,10.93,10.93,4829600
2024-04-25,232,10.7,11.21,10.48,11.21,11.21,4903800
2024-04-26,233,11.18,12.19,11,11.9,11.9,7685100
2024-04-29,234,11.84,11.96,11.18,11.29,11.29,3821500
2024-04-30,235,11.18,11.3,10.91,11.09,11.09,2866500
2024-05-01,236,11.03,11.32,10.7,10.91,10.91,2653200
2024-05-02,237,11.11,12.88,10.96,12.76,12.76,8654800
2024-05-03,238,12.42,17.450001,12.31,16.469999,16.469999,36292400
2024-05-06,239,14.99,17.4,13.62,16.309999,16.309999,48018700
2024-05-07,240,15.85,17.290001,14.93,16.309999,16.309999,24308600
2024-05-08,241,16.049999,17.24,15.33,15.92,15.92,24775100
2024-05-09,242,15.9,18.51,15.35,18.01,18.01,25759300
2024-05-10,243,17.93,20.200001,16.879999,17.459999,17.459999,36831900
2024-05-13,244,26.34,38.200001,24.77,30.450001,30.450001,187241700
2024-05-14,245,64.830002,64.830002,36,48.75,48.75,206979100
2024-05-15,246,40.310001,42.349998,31,39.549999,39.549999,131790100
2024-05-16,247,33.98,35.240002,27.59,27.67,27.67,76177600
2024-05-17,248,21.860001,22.41,19.700001,22.209999,22.209999,96079600
2024-05-20,249,21.540001,23.4,18.940001,23.139999,23.139999,55261600
2024-05-21,250,22.24,22.85,20.040001,22.120001,22.120001,49250100
2024-05-22,251,21.559999,22.25,20.76,21.120001,21.120001,43521400
2024-05-23,252,21.4,21.4,18.26,18.32,18.32,30370500
2024-05-24,253,18.42,18.639999,17.700001,18.040001,18.040001,15988456